frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
485,8.0833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,65,1,"",""
490,8.1667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,65,1,"",""
630,10.5000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,88,1,87,1,"","PerceptionPoll"
704,11.7333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,87,1,66,1,"Objective1",""
810,13.5000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,88,1,87,1,"","PerceptionPoll"
875,14.5833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,63,1,"",""
1176,19.6000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,61,1,"",""
1180,19.6667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,4294967295,0,"",""
1180,19.6667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,4294967295,0,"",""
1414,23.5667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,86,1,66,1,"Objective1",""
1416,23.6000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,88,1,86,1,"","PerceptionPoll"
1566,26.1000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,88,1,86,1,"","PerceptionPoll"
1576,26.2667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,63,1,"",""
1869,31.1500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,61,1,"",""
1900,31.6667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,61,1,"",""
1958,32.6333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,59,1,"",""
1958,32.6333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,59,1,"",""
1965,32.7500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,59,1,"",""
2187,36.4500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,61,1,"",""
2240,37.3333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,63,1,"",""
2296,38.2667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,4294967295,0,"",""
2296,38.2667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,4294967295,0,"",""
2690,44.8333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,84,1,67,1,"Objective2",""
3049,50.8167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,63,1,"",""
3221,53.6833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,61,1,"",""
3262,54.3667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,61,1,"",""
3327,55.4500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,59,1,"",""
3327,55.4500,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,1,0,0,0,84,1,59,1,"",""
3333,55.5500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,59,1,"",""
3416,56.9333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,4294967295,0,"",""
3416,56.9333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,4294967295,0,"",""
