frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
349,5.8167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,77,1,68,1,"Objective3",""
600,10.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,63,1,"",""
606,10.1000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,63,1,"",""
873,14.5500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,60,1,"",""
880,14.6667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,60,1,"",""
1215,20.2500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,64,1,"",""
1215,20.2500,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,64,1,"",""
1221,20.3500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,64,1,"",""
1222,20.3667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
1222,20.3667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
1242,20.7000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,65,1,"",""
1272,21.2000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,65,1,"",""
1372,22.8667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,76,1,68,1,"Objective3",""
1680,28.0000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,59,1,"",""
1697,28.2833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,59,1,"",""
1775,29.5833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,58,1,"",""
1775,29.5833,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,2,0,0,0,76,1,58,1,"",""
1782,29.7000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,58,1,"",""
1870,31.1667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,59,1,"",""
1975,32.9167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,76,1,69,1,"Objective4",""
2068,34.4667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,59,1,"",""
2150,35.8333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,58,1,"",""
2150,35.8333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,3,0,0,0,76,1,58,1,"",""
2157,35.9500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,58,1,"",""
2296,38.2667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,61,1,"",""
2392,39.8667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
2392,39.8667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
2416,40.2667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,63,1,"",""
2436,40.6000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,88,1,74,1,"","PerceptionPoll"
2650,44.1667,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,88,1,74,1,"","Priest_BT"
2746,45.7667,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,88,1,74,1,"","Priest_BT"
2877,47.9500,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,88,1,74,1,"","Priest_BT"
2929,48.8167,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,88,1,74,1,"","Priest_BT"
