frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
6,0.1000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,121,1,76,1,"","PerceptionPoll"
102,1.7000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,121,1,76,1,"","PerceptionPoll"
113,1.8833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,86,1,"",""
113,1.8833,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,86,1,"",""
124,2.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,86,1,"",""
124,2.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,88,1,"",""
124,2.0667,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,88,1,"",""
125,2.0833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,86,1,"",""
143,2.3833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,88,1,"",""
259,4.3167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,85,1,"",""
259,4.3167,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,85,1,"",""
269,4.4833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,85,1,"",""
592,9.8667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,85,1,"",""
619,10.3167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,108,1,96,1,"Iron",""
650,10.8333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,94,1,"",""
650,10.8333,16,"ForgeCrafted",0.0000,0.0000,0.0000,0.0000,2,0,0,0,108,1,94,1,"Key",""
656,10.9333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,94,1,"",""
707,11.7833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,85,1,"",""
736,12.2667,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,121,1,75,1,"",""
744,12.4000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,121,1,75,1,"","PerceptionPoll"
829,13.8167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,87,1,"",""
829,13.8167,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,87,1,"",""
835,13.9167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,87,1,"",""
840,14.0000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,121,1,75,1,"","PerceptionPoll"
950,15.8333,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,121,1,72,1,"",""
954,15.9000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,121,1,72,1,"","PerceptionPoll"
969,16.1500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,85,1,"",""
1056,17.6000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,121,1,72,1,"","PerceptionPoll"
1074,17.9000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,71,1,"",""
1074,17.9000,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,71,1,"",""
1087,18.1167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,4294967295,0,"",""
1087,18.1167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,4294967295,0,"",""
1088,18.1333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,108,1,71,1,"",""
1183,19.7167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,82,1,"",""
1183,19.7167,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,82,1,"",""
1335,22.2500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,82,1,"",""
1363,22.7167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,82,1,"",""
1406,23.4333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,81,1,"",""
1406,23.4333,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,81,1,"",""
1427,23.7833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,81,1,"",""
1481,24.6833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,109,1,95,1,"Iron",""
1511,25.1833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,97,1,"",""
1709,28.4833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,76,1,"",""
1822,30.3667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,79,1,"",""
1822,30.3667,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,79,1,"",""
1831,30.5167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,79,1,"",""
1956,32.6000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,85,1,"",""
1998,33.3000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,94,1,"",""
1998,33.3000,16,"ForgeCrafted",0.0000,0.0000,0.0000,0.0000,2,0,0,0,109,1,94,1,"Key",""
2004,33.4000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,94,1,"",""
2054,34.2333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,85,1,"",""
2109,35.1500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,4294967295,0,"",""
2109,35.1500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,109,1,4294967295,0,"",""
2347,39.1167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,86,1,"",""
2364,39.4000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,88,1,"",""
2384,39.7333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,86,1,"",""
2602,43.3667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,71,1,"",""
2622,43.7000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,110,1,101,1,"Objective3",""
2644,44.0667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,110,1,93,1,"Iron",""
2862,47.7000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,71,1,"",""
2953,49.2167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,74,1,"",""
2953,49.2167,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,74,1,"",""
2979,49.6500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,74,1,"",""
3015,50.2500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,94,1,"",""
3015,50.2500,16,"ForgeCrafted",0.0000,0.0000,0.0000,0.0000,2,0,0,0,110,1,94,1,"Key",""
3031,50.5167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,94,1,"",""
3081,51.3500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,85,1,"",""
3216,53.6000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,87,1,"",""
3234,53.9000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,4294967295,0,"",""
3234,53.9000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,110,1,4294967295,0,"",""
3665,61.0833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,85,1,"",""
3708,61.8000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3716,61.9333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3724,62.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3732,62.2000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3740,62.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3748,62.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3756,62.6000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3764,62.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3772,62.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3780,63.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3788,63.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3796,63.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3804,63.4000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3812,63.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3820,63.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3828,63.8000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3836,63.9333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3844,64.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3852,64.2000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3860,64.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3868,64.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3876,64.6000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3884,64.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3892,64.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3900,65.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3908,65.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3916,65.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3924,65.4000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3932,65.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3940,65.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3948,65.8000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3956,65.9333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3964,66.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3972,66.2000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3980,66.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3988,66.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
3996,66.6000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4004,66.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4012,66.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4020,67.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4028,67.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4036,67.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4044,67.4000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4052,67.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4060,67.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4068,67.8000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4076,67.9333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4084,68.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4092,68.2000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4100,68.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4108,68.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4116,68.6000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4124,68.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4132,68.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4140,69.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4148,69.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4156,69.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4164,69.4000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4172,69.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4180,69.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4188,69.8000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4196,69.9333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4204,70.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4212,70.2000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4220,70.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4228,70.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4236,70.6000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4244,70.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4252,70.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4260,71.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4268,71.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4276,71.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4284,71.4000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4292,71.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4300,71.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4308,71.8000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4316,71.9333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4324,72.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4332,72.2000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4340,72.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4348,72.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4356,72.6000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4364,72.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4372,72.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4380,73.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4388,73.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4396,73.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4404,73.4000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4412,73.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4420,73.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4428,73.8000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4436,73.9333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4444,74.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4452,74.2000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4460,74.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4468,74.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4476,74.6000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4484,74.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4492,74.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4500,75.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4508,75.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4516,75.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4524,75.4000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4532,75.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4540,75.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4548,75.8000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4556,75.9333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4564,76.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4572,76.2000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4580,76.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4588,76.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4596,76.6000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4604,76.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4612,76.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4620,77.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4628,77.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4636,77.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4644,77.4000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4652,77.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4660,77.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4668,77.8000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4676,77.9333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4684,78.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4692,78.2000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4700,78.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4708,78.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4716,78.6000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4724,78.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4732,78.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4740,79.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4748,79.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4756,79.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4764,79.4000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4772,79.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4780,79.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4788,79.8000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4796,79.9333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4804,80.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4812,80.2000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4820,80.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4828,80.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4836,80.6000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4844,80.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4852,80.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4860,81.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4868,81.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4876,81.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4884,81.4000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4892,81.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4900,81.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4908,81.8000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4916,81.9333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4924,82.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4932,82.2000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4940,82.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4948,82.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4956,82.6000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4964,82.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4972,82.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4980,83.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4988,83.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
4996,83.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5004,83.4000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5012,83.5333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5020,83.6667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5028,83.8000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5036,83.9333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5044,84.0667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5052,84.2000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5060,84.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5068,84.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5076,84.6000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5084,84.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5092,84.8667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5100,85.0000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5108,85.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
5116,85.2667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,94,1,"",""
