frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
532,8.8667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,75,1,62,1,"Iron",""
831,13.8500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,63,1,"",""
831,13.8500,16,"ForgeCrafted",0.0000,0.0000,0.0000,0.0000,2,0,0,0,75,1,63,1,"Key",""
837,13.9500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,63,1,"",""
1187,19.7833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
1187,19.7833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,75,1,4294967295,0,"",""
2268,37.8000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
2268,37.8000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,76,1,4294967295,0,"",""
3349,55.8167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
3349,55.8167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,77,1,4294967295,0,"",""
3534,58.9000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,88,1,87,1,"","PerceptionPoll"
3559,59.3167,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,88,1,87,1,"","Priest_BT"
3560,59.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,64,1,"",""
3560,59.3333,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,64,1,"",""
3566,59.4333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,64,1,"",""
3572,59.5333,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,88,1,87,1,"","Priest_BT"
3690,61.5000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,88,1,87,1,"","PerceptionPoll"
4100,68.3333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,65,1,"",""
4112,68.5333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,65,1,"",""
