frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
112,1.8667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,74,1,63,1,"Objective4",""
336,5.6000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,82,1,74,1,"","PerceptionPoll"
355,5.9167,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,82,1,74,1,"","Priest_BT"
390,6.5000,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,82,1,74,1,"","Priest_BT"
457,7.6167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,57,1,"",""
463,7.7167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,57,1,"",""
600,10.0000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,82,1,74,1,"","PerceptionPoll"
611,10.1833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
657,10.9500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,54,1,"",""
663,11.0500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,54,1,"",""
1002,16.7000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
1002,16.7000,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
1021,17.0167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,58,1,"",""
1219,20.3167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
1219,20.3167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,74,1,4294967295,0,"",""
2048,34.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,66,1,59,1,"",""
2060,34.3333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,66,1,59,1,"",""
2329,38.8167,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,66,1,4294967295,0,"",""
2329,38.8167,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,66,1,4294967295,0,"",""
2771,46.1833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,15,0,0,0,68,1,64,1,"Objective5",""
3010,50.1667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,55,1,"",""
3243,54.0500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,53,1,"",""
3243,54.0500,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,4,0,0,0,68,1,53,1,"",""
3250,54.1667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,53,1,"",""
3350,55.8333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,55,1,"",""
3413,56.8833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,68,1,61,1,"Objective2",""
3474,57.9000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,68,1,61,1,"Objective2",""
3490,58.1667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,4294967295,0,"",""
3490,58.1667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,68,1,4294967295,0,"",""
3497,58.2833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,59,1,"",""
3953,65.8833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,69,1,60,1,"Objective1",""
4304,71.7333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,53,1,"",""
4304,71.7333,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,53,1,"",""
4312,71.8667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,53,1,"",""
4634,77.2333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,4294967295,0,"",""
4634,77.2333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,69,1,4294967295,0,"",""
4695,78.2500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,67,1,62,1,"Objective3",""
5310,88.5000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,55,1,"",""
5314,88.5667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,55,1,"",""
5733,95.5500,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,4294967295,0,"",""
5733,95.5500,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,67,1,4294967295,0,"",""
6072,101.2000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,55,1,"",""
6440,107.3333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,73,1,61,1,"Objective2",""
6624,110.4000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,55,1,"",""
6739,112.3167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,53,1,"",""
6739,112.3167,8,"Victory",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,53,1,"",""
6739,112.3167,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,1,0,0,0,73,1,53,1,"",""
6747,112.4500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,53,1,"",""
6906,115.1000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,4294967295,0,"",""
6906,115.1000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,73,1,4294967295,0,"",""
7153,119.2167,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,14,0,0,0,81,1,63,1,"Objective4",""
7347,122.4500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,81,1,55,1,"",""
7352,122.5333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,81,1,55,1,"",""
7765,129.4167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,81,1,53,1,"",""
7765,129.4167,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,3,0,0,0,81,1,53,1,"",""
7772,129.5333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,81,1,53,1,"",""
8022,133.7000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,81,1,4294967295,0,"",""
8022,133.7000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,81,1,4294967295,0,"",""
8558,142.6333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,65,1,62,1,"Objective3",""
9120,152.0000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,65,1,4294967295,0,"",""
9120,152.0000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,65,1,4294967295,0,"",""
9635,160.5833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,55,1,"",""
9942,165.7000,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,71,1,62,1,"Objective3",""
10274,171.2333,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,4294967295,0,"",""
10274,171.2333,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,71,1,4294967295,0,"",""
11410,190.1667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,4294967295,0,"",""
11410,190.1667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,72,1,4294967295,0,"",""
11514,191.9000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,79,1,55,1,"",""
11822,197.0333,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,79,1,62,1,"Objective3",""
