frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
6,0.1000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,120,1,73,1,"","PerceptionPoll"
102,1.7000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,120,1,73,1,"","PerceptionPoll"
128,2.1333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,75,1,"",""
128,2.1333,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,75,1,"",""
147,2.4500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,75,1,"",""
365,6.0833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,73,1,"",""
563,9.3833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,73,1,"",""
582,9.7000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,120,1,119,1,"","PerceptionPoll"
597,9.9500,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,1,0,0,0,119,1,95,1,"Iron",""
606,10.1000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,97,1,"",""
612,10.2000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,120,1,97,1,"","PerceptionPoll"
613,10.2167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,97,1,"",""
675,11.2500,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,120,1,119,1,"","Priest_BT"
700,11.6667,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,120,1,119,1,"","Priest_BT"
704,11.7333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,73,1,"",""
708,11.8000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,120,1,97,1,"","PerceptionPoll"
818,13.6333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,75,1,"",""
834,13.9000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,120,1,119,1,"","PerceptionPoll"
882,14.7000,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,79,1,"",""
882,14.7000,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,79,1,"",""
899,14.9833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,79,1,"",""
1059,17.6500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,83,1,"",""
1066,17.7667,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,4294967295,0,"",""
1066,17.7667,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,4294967295,0,"",""
1067,17.7833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,119,1,83,1,"",""
1099,18.3167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,106,1,71,1,"",""
1099,18.3167,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,106,1,71,1,"",""
1102,18.3667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,106,1,71,1,"",""
1102,18.3667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,106,1,78,1,"",""
1102,18.3667,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,106,1,78,1,"",""
1107,18.4500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,106,1,78,1,"",""
1108,18.4667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,106,1,71,1,"",""
1143,19.0500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,106,1,76,1,"",""
1143,19.0500,14,"DoorOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,106,1,76,1,"",""
1147,19.1167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,106,1,76,1,"",""
1331,22.1833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,106,1,71,1,"",""
1337,22.2833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,106,1,78,1,"",""
